con1-product,con1-money,con1-dominant_emo,con1-dominant_emo_pos,con1-dominant_emo_neg,con1-text_emo1,con1-text_emo2,con1-text_importance,con1-text_goalsCon,con1-text_pleasant,con1-text_expect,con1-self_control,con1-pleasantness,con1-goal_con,con1-expect,con1-fairness,con1-certainty,con1-coping,con1-goal_relevance,con1-other_account,con1-difficult,con1-self_account,con1-attention,con1-control_circum,con1-future_expect,con1-control_other,con1-effort,con1-problem,con1-norm_external,con1-circum_account,con1-novel,con1-research,con1-recommend,con1-again,con1-anger,con1-joy,con1-disappoint,con1-surprise,con1-pride,con1-gratitude,con1-disgust,con1-regret,con1-satisfied,con1-other_Text_emo,con1-other_emo,con2-product,con2-money,con2-dominant_emo,con2-dominant_emo_pos,con2-dominant_emo_neg,con2-text_emo1,con2-text_emo2,con2-text_importance,con2-text_goalsCon,con2-text_pleasant,con2-text_expect,con2-self_control,con2-pleasantness,con2-goal_con,con2-expect,con2-fairness,con2-certainty,con2-coping,con2-goal_relevance,con2-other_account,con2-difficult,con2-self_account,con2-attention,con2-control_circum,con2-future_expect,con2-control_other,con2-effort,con2-problem,con2-norm_external,con2-circum_account,con2-novel,con2-research,con2-recommend,con2-again,con2-anger,con2-joy,con2-disappoint,con2-surprise,con2-pride,con2-gratitude,con2-disgust,con2-regret,con2-satisfied,con2-other_Text_emo,con2-other_emo,PID1-1,PID1-2,PID1-3,PID1-4,PID1-5,PID1-6,PID1-7,PID1-8,PID1-9,PID2-1,PID2-2,PID2-3,PID2-4,PID2-5,PID2-6,PID2-7,PID2-8,PID2-9,Demo-gender,Demo-gender_5_TEXT,Demo-age,Demo-race,Demo-race_6_TEXT,Demo-ethnicity,Demo-language,Demo-education,Demo-income,prolific_id,PEACE_REVIEW
Watch,5000,Grateful,,,"Well on a faithful day, I went to Rolex company so I can buy a wrist watch on reaching there, I found out that the watch i wrist watch i have it mind to buy costs 5000usd. I was so happy that I had the money and ready to wear an expensive wrist watch in my life. I had no other option than to rush and pay for it. Each time I wear it on my wrist I feel very happy.",This is because I got the product that I love thee most ,Yes because I've always wanted to buy this product a longtime ago,Yes because it's a water resistant and it looks simple and also gives me what I want ,Yes because I always wear it everyday so as my friends to know that I got a Rolex wrist watch on me,Unexpected because it started blinking day by day each time I wear it ,7,7,7,2,7,7,7,7,2,1,6,6,1,7,1,7,1,7,7,3,7,7,7,1,7,2,2,2,7,1,1,7,NA,,Nike shoe ,3000,Regret,,,"On a Saturday morning, I woke up and did a house cleaning after the cleaning I noticed that some of my shoes were not good again so I decided to rush down to a Nike company to get a new one. At reaching the Nike company I was marveled with a lot of designers the had and do I was confused because I didn't know which one to pick. But later on i picked a Nike shoe which cost 3000usd and left. On a Sunday morning I was going to church unfortunately it was a rainy day, after the rain must have beaten the shoe is notice that the shoe was fake and i got so angry and regretted buying the shoe",The Nike shoe was fake and it was torn while I was putting on already ,No because I don't like fake things. The Nike had to be one of them,No because the Nike wasn't consistent enough to my liking,No because I was ashamed wearing a fake Nike shoe to church ,Unexpected because I was thinking the Nike shoe was original ,1,1,1,1,1,1,1,1,1,7,1,7,1,1,1,7,7,1,1,1,7,1,1,7,1,7,7,1,1,7,7,1,NA,,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree or disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree or disagree,Strongly agree,Neither agree or disagree,Somewhat agree,Male,,55 - 64 years old,Black or African American,,No,English,Bachelor’s degree,"$100,000-$149,999",644e80f65a5c0e0d2f9a433b,4
Gaming Laptop ,1700,Joy,,,"I felt very joyful because the laptop's design was beautiful, and the performance was really good. It was and still is running very smoothly and everything about it is very high quality. I am enjoying the laptop and I am very happy with the purchase I made after doing a lot of research. ","Because I was enjoying different experiences such as playing games, designing, and other activities without any lag or freezes. This product made using a laptop a very cool and smooth experience for me. ",Yes because I do a lot of my work activities with the laptop (designing) and a main hobby which is gaming. ,"Yes, because I did a lot of research and I wanted a laptop that has a high quality graphic card and a powerful CPU. I also wanted a high quality screen. This laptop provided all of those features for me. ","Yes, because it provided me witht he kind of experience I was hoping to have with a powerful and smooth laptop. I am very please because it met all my expectations. ","Yes, everything was as expected or even better. It met all the technical and visual expectations I had. It also was lighter than I thought it would be. I bought it online and never actually saw it at a store, therefore, even the weight felt much lighter than I thought. ",6,7,7,6,7,7,,7,,,7,1,7,4,,1,,6,,4,7,7,7,1,7,1,5,7,7,1,1,7,N/A,,Video Projector ,600,Disappointment,,,"I was quite shocked by the low quality of video projector. It was not only hard to setup, it was not smooth at all. Its quality of video was much lower than I expected. ","I did my research and I expected a high quality product specially from the famous brand I bought it from. I was disappointed at the product, not myself because I did the research I normally do. ",Nutrual because I was moslty using it for fun activties and it was not essential to me at all. ,No because it provided a much lower quality of outful than I expected. I paid a high price and expected something much better. ,"No because I felt kind of robbed. It was not about the money I felt this way, it was about the time I put in to research and find this product and now I had to return it and I felt it was just a huge waste of time. ",Unexpected because it didn't meet the qualities I was looking for and it was not use-friendly at all. ,2,1,1,2,2,3,4,2,6,6,2,6,6,4,5,5,2,4,4,2,7,1,1,5,1,7,6,1,1,5,6,1,NA,,Somewhat agree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Male,,35 - 44 years old,White or Caucasian,,No,,Bachelor’s degree,"$150,000 or more",64136bf30b27746cb96f7db8,4
I bought a body perfume,8,Regret,,,"I felt very grateful after buying the product.

Fans at the San Siro bid farewell to the Swedish striker ahead of his final game for the club, and while he said he was not going to retire, it now appears that the 41-year-old has changed his mind and quit the beautiful game.","yes, I experienced a Fans at the San Siro bid farewell to the Swedish striker ahead of his final game for the club, and while he said he was not going to retire, it now appears that the 41-year-old has changed his mind and quit the beautiful game. of things.","the product was important, Ibrahimovic played for both Milan clubs in a stellar career, but his recent years have been hit by injury, and he did not feature in the final game of the season, a 3-1 win over Hellas Verona.

Olivier Giroud scored a penalty just before half-time, while two late goals from Rafael Leao sealed the three points after Davide Faraoni had equalised for Verona","yes the service, was consistent.he visitors now head into a one-off playoff game to decide if they will be playing Serie A football next season, after finishing equal on points with Spezia, who lost their final game of the season 2-1 away at Europa League final losers Roma.


","yes it was pleasant. was given a fitting send off by the fans on Sunday, with the 'Godbye' sign joined by flags with his face on across the stands in Milan.

The striker looked moved as he made a heart gesture to fans ahead of the game, as the club tweeted 'I'm not cyring, you're crying' at the emotional scene.","yes everything turned out to what I expected, it was a nice experience. we’re not there yet. I think I still have something to give. If I think about quitting? I don’t think so. If I have to continue playing? I think so.

'But I have to find balance like in life. If you don’t have serenity, stability, you’re a bomb and the bombs explode.'",5,4,3,3,3,4,5,3,5,3,4,5,5,4,5,4,2,5,4,5,5,5,5,2,7,2,4,5,3,4,2,7,not really,,cosmectics,20,Joy,,," we’re not there yet. I think I still have something to give. If I think about quitting? I don’t think so. If I have to continue playing? I think so.

'But I have to find balance like in life. If you don’t have serenity, stability, you’re a bomb and the bombs explode.'"," was given a fitting send off by the fans on Sunday, with the 'Godbye' sign joined by flags with his face on across the stands in Milan.

The striker looked moved as he made a heart gesture to fans ahead of the game, as the club tweeted 'I'm not cyring, you're crying' at the emotional scene.","Ibrahimovic played for both Milan clubs in a stellar career, but his recent years have been hit by injury, and he did not feature in the final game of the season, a 3-1 win over Hellas Verona.

Olivier Giroud scored a penalty just before half-time, while two late goals from Rafael Leao sealed the three points after Davide Faraoni had equalised for Verona","Fans at the San Siro bid farewell to the Swedish striker ahead of his final game for the club, and while he said he was not going to retire, it now appears that the 41-year-old has changed his mind and quit the beautiful game.","he visitors now head into a one-off playoff game to decide if they will be playing Serie A football next season, after finishing equal on points with Spezia, who lost their final game of the season 2-1 away at Europa League final losers Roma.


","he visitors now head into a one-off playoff game to decide if they will be playing Serie A football next season, after finishing equal on points with Spezia, who lost their final game of the season 2-1 away at Europa League final losers Roma.


 we’re not there yet. I think I still have something to give. If I think about quitting? I don’t think so. If I have to continue playing? I think so.

'But I have to find balance like in life. If you don’t have serenity, stability, you’re a bomb and the bombs explode.'",3,4,5,4,3,5,3,5,4,2,3,2,5,4,3,3,5,3,5,3,2,3,4,6,3,4,3,5,3,4,5,2,NA,,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Male,,55 - 64 years old,Black or African American,,No,Afrikaans,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Prefer not to say,64732bfde29cfcda35f47df9,4
Canada Goose winter jacket,2000,Joy,,,"I live in a cold climate and this was the first jacket that truly kept me warm outside. It lived up to the hype and the price tag. I was hesitant at first because of the price, but was blown away at the quality and effectiveness of the jacket.",Because all other jackets I purchased prior to this one did not work as well as advertised. ,Yes because I live in a cold climate and winter brings cold most of the year. I needed a jacket I could count on to handle all types of winter weather. ,Yes because I was never cold outside in the colder seasons.,Yes because not worrying about being cold was an issue I was glad to see resolved.,Expected because the price tag was high so I knew it had to be a quality product. It also looked great on me.,6,7,7,,7,7,,7,7,1,6,2,2,4,2,1,4,6,2,4,6,7,7,1,7,1,6,7,7,1,1,7,NA,,4k television,2500,Anger,,,I spent so much money on this television and it started to not work within a week of purchase. ,I felt like I lost out on money that was spent. I felt ripped off.,Yes because I invested money in it and it was to be our homes main television.,No because it started to malfunction almost immediately. ,No because I felt ripped off and the store was not cooperating with a solution. ,Unexpected because the screen turned off in places as soon as we began use. It was broken.,4,1,1,6,1,5,2,1,6,7,1,7,4,4,4,7,7,2,4,3,6,4,3,7,1,7,6,1,1,7,7,2,NA,,Somewhat agree,Strongly agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Male,,35 - 44 years old,White or Caucasian,,No,English,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$75,000-$99,999",5c309bb410677f0001dda0ed,4
Toyota Prius,4000,Pride,,,"I was able to finally own my own car after having leased for many years. I got a great deal on it, and it ran reliably. I felt pride in being able to transport my family and show it off, with many people complimenting me on how nice it was. Being a car owner also meant I was finally debt free, after having been indebted to loan repayment for many years.",The car was so etching I worked hard for and had earned with my own money. It was the culmination of many years of hard labor.,"It was very important to me, as having a reliable car was necessary for my job responsibilities.","Yes because I wanted to spend the least amount of money possible for the most reliable vehicle, and the vehicle I chose fulfilled my wishes.",Yes because the car handled quietly and the cost of gas for filling hybrid vehicles was cheap at the time.,"Unexpected because there were initial brake problems, but the shop I bought it from fixed them for free since it was withing the warranty period.",7,5,7,5,6,6,6,7,1,3,7,4,4,4,3,4,5,6,5,5,7,6,6,2,6,2,2,7,6,2,2,6,NA,,Mitsubishi Mirage,800,Disappointment,,,"I was disappointed because I bought my first car from a co-worker, but it turned out to have a lot of mechanical problems. The vehicle was supposed to be my solution to years of not having transportation, but instead it turned into a money pit.",The car was not safe and would frequently stall out. In multiple instances I feared for my life and the safety of my passengers.,"Yes because it was bought at a time when a vehicle was socially necessary, and allowed me to attend social gatherings I would not have had access to previously.","No because it became a burden where I was ashamed of transporting friends and family in it, as it was no longer safe.",No because I was constantly on-edge as to what mechanical issues could arise in every journey I took inside the vehicle.,No because the engine stalling was not disclosed by the seller when I purchased the vehicle,3,3,4,2,3,2,3,4,5,5,3,6,2,2,5,5,2,3,2,2,2,1,1,6,1,7,4,1,1,5,7,1,NA,,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Male,,35 - 44 years old,White or Caucasian,,No,English,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","Less than $25,000",642fadb8907ce60a41a2fdfe,4
I purchased a smart TV ,700,Disappointment,,,"Having taken my time to do a research on the quality Smart TVs out there, I thought this one being expensive and supposedly of high quality would be a good buy. Unfortunately, on the third day of use it wouldn't come on. I was devastated and also disappointed.",I am feeling disappointed because I took my time to do research on the model of the smart TV I purchased. I never envisaged this happening at all. It was like all my effort to get a quality TV went down the drain.,"yes, because the product was very important to me. I needed to replace the older one because that one  is faulty now. The warranty has expired and I didn't want to go for repairs. ","Yes because based off of its features and the many rave reviews it enjoyed on its website, I thought this was a bargain..",No because i wasnt able to use my smart Tv on the third day. ,"Unexpected because despite all its unique features, I couldn't get it to work after a short while. That's disappointing ",2,2,2,6,1,7,3,4,7,6,1,6,5,5,2,7,6,5,5,6,7,2,2,6,1,7,5,1,1,6,7,2,NA,,spa service ,1500,Grateful,,,"While the quality of treatment I received at this particular spa was top notch, they made sure I was very very comfortable by making small positive gestures like giving me a bottle of champagne, offered refreshments in terms of chocolates and barbecued chicken and also other souvenirs ","I was grateful because of the way I was treated, the customer service was top notch. I would love to return back there soon ",Yes because I needed to get waxing done. It's been quite a while. my wife also needed to get facials done and some other body treatments that follow.,Yes because they did more than enough to impress me with their customer service..,"Yes because I enjoyed my stay there. I was treated quite well by the employees
 ",Expected because I left there as a satisfied customer. I was more than impressed ,6,7,7,2,7,7,4,7,7,1,1,1,7,7,7,1,1,7,1,7,5,7,7,1,7,1,1,7,7,1,1,7,NA,,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree or disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree or disagree,Male,,35 - 44 years old,Black or African American,,No,English Language ,Prefer not to say,Prefer not to say,63456cbb51b2440f2dfc3e85,4
a new Iphone,899,Regret,,,"I absolutely love my new iPhone! The sleek design and premium build quality make it a pleasure to hold and use. The advanced features and smooth performance enhance my daily activities and make everything more convenient. From the vibrant display to the incredible camera capabilities, I am truly impressed and delighted with my new iPhone.",I was just so happy to get a new phone finally. I don't but myself many new things and it was a big purchase to myself.,Yes because my old phone was slow and the camera was not as good as the new models like the one I bought.,Yes it was really cool and awesome compared to my old phone. ,"Yes because using my new iPhone has been an absolute delight. The seamless user experience, intuitive interface, and responsive touch controls make every interaction with the phone a pleasant and effortless experience.",Expected because I knew it was more advanced than the previous versions I have used it was exciting honestly.,6,6,6,4,5,7,7,6,1,2,7,1,1,4,2,3,5,7,1,4,7,7,7,1,7,1,5,4,4,1,1,6,excitement,7,Headphones,300,Disappointment,,,"Unfortunately, my new headphones turned out to be a disappointment. The sound quality fell short of my expectations, lacking the depth and clarity I was hoping for. Additionally, the build quality left much to be desired, as they felt flimsy and prone to breaking easily.",I felt I made the wrong choice in the brand I decided to purchase.,Yes because I like to listen to music while I work on my computer or exercise.,No because the quality for what I paid was not that good sadly.,No because they sound terrible and are not very sturdy in the construction.,Unexpected because of the price I paid I thought the quality would be above average.,4,2,1,2,1,6,4,3,2,5,1,6,4,1,4,7,7,1,7,4,7,1,1,7,1,7,5,1,1,4,6,1,sadness,7,Strongly agree,Neither agree or disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Male,,35 - 44 years old,White or Caucasian,,No,english,Associates or technical degree,"$25,000-$49,999",5dd42e7f35cf744223c60d1b,4
Outdoor dinning set,550,Grateful,,,"I felt extremely grateful the first day that I set my patio set up. It was a really beautiful and mild spring afternoon, I had been sick the week before, and not been able to put together until that day. I felt very grateful to have such an asset to our sit and enjoy tea at and for my kids to sit at the table with me to.",I felt like I had spent the right amount of money on the product. He felt that I had worked hard to get this item. This was a fairly expensive item for me at this point in my life.,"Yes, because I wanted to have us base to sit and enjoy meals outside at","Yes, because it was exactly what I picture and what I imagined it to be. The quality exceeded my expectations as well.","Yes, because the item was comfortable and well-made.",Unexpected because I thought that the dining set might not be as nice as I had pictured it to be.,6,7,7,,7,7,,7,,1,7,,,,,,,,,,7,7,7,1,7,1,5,7,7,1,1,7,Na,,My Dyson vacuum,300,Disappointment,,,I was frustrated with the filter in the roller after not very much use of the product,Because I spent a great amount of money on the item including gift cards that I had saved.,"Yes, because I had to work hard to have the extra money for that item.","No, because I expected it to work much better than it did.","Yes, because it did work well when it worked. However, when it shortly begin to have to use issues and the filtration system got clogged easily it became very annoying.",Unexpected because it didn’t work as fall asleep as I expected it to.,6,2,1,,6,7,,1,6,,1,,,4,,5,7,,,1,7,3,1,4,2,7,6,1,1,1,3,1,Na,,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Female,,35 - 44 years old,White or Caucasian,,No,English,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$75,000-$99,999",63615bb6922c170dc50b434a,4
"I bought an Amex gift card last month. It literally did not work anywhere. It was technically an eGift card and did not work anywhere online, nor in person.",200,Regret,,,"Well, the product did not work at any vendor, big or small. I tried Walmart, Amazon, in-person, online, all of it. I felt like Amex essentially thieved me out of $200. I recently disputed the purchase with Amex, but we will see.",Because I did not get the product that I thought that I purchased.,"Yes, because it was essentially supposed to function as cash.","No, because the gift cards are basically supposed to work everywhere.","No, because customer support did not help and clearly the company does not value customer support.","No, I expected to be able to use the gift card freely.",2,1,2,3,1,5,4,2,4,5,2,4,5,4,3,4,5,4,2,6,5,3,4,4,1,6,6,2,4,2,6,3,NA,,Nike Sneakers,60,Grateful,,,I bought some new Nike sneakers. They're stylish and comfortable. I really like them and hope to have them for years.,I was happy and grateful that I got a product that should last for years.,"Yes, because I need to have healthy feet and preserve my knees.","Yes, because I have had similar shoes for years and they have held up well.","Yes, because they are making my daily life a little better with extra padding.",Expected because the shoes functioned exactly as they were marketed.,6,6,5,6,6,5,5,5,4,3,4,4,5,6,5,4,5,4,4,5,5,7,5,1,7,3,5,4,6,3,5,5,NA,,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Male,,25 - 34 years old,White or Caucasian,,No,English,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$75,000-$99,999",59c6305e6a287600011c388d,4
A virtual reality headset,250,Joy,,,"I was very happy that I got to get my hands on a new piece of technology like this. I've been craving this experience for awhile, because I watch people in online videos using it, and talking about it on social media. This made me really want the experience, so when I finally got it, my expectations were fully realized and this made me feel joy. I was also happy that I would be able to get to share this experience with my friends who own a headset too. I also felt joy because I get to play exclusive video games on my VR headset which is fun.","Firstly, I was grateful to be experiencing an advanced piece of tech. Second, I felt like I was realizing my fantasy of owning the product. Third, I was happy to share the tech with friends. And fourth, because it allowed me to experience great entertainment.","Yes, because it brought me a lot of entertainment value, and made me feel my purchase was worth it.","Yes, because I already knew what to expect, so there was very little chance that I would actually be let down.","Yes, because I got to have fun, relax, and enjoy myself while using the product.",Expected because I already read a lot about the product before making my purchase.,6,7,7,2,6,7,3,7,1,3,7,2,3,6,6,4,1,6,2,2,7,7,7,1,6,1,2,4,6,1,1,6,NA,,Expensive dinner at a bad restaurant,120,Disappointment,,,"First of all, even though we made a reservation, we still had to wait a bit before getting attended to at the front door. Second, the quality of the food was low. Third, the price of the food despite its quality.","Because I felt disappointed that we had to wait so long to get taken care of once we got there, because I would expect a fine dining restaurant to be more organized. Second, the quality of the food was okay, but not what I expected, and it made me disappointed in myself a bit too because I didn't read enough reviews for the restaurant which would have informed my decision better. And third, because spending a lot of money on bad food like this was not a good experience.","Neutral because even though dining out is nice, I probably could have just made dinner at home and had a similar experience.","No because I expected better food, quality ingredients, and presentation based on the appearance of the restaurant.","No because the prices were high, staff was disorganized, and the food was lacking in quality.",Unexpected because the appearance and advertisements of this restaurants seemed to show something different than what I experienced.,3,2,2,3,4,6,5,7,6,4,3,4,1,4,6,4,5,5,2,2,4,1,1,4,2,7,5,3,2,4,6,2,NA,,Strongly agree,Strongly agree,Strongly agree,Neither agree or disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree or disagree,Male,,25 - 34 years old,White or Caucasian,,No,English,Bachelor’s degree,"$25,000-$49,999",58380cb9f1faf8000129673a,4
Laptop,1200,Other negative emotion,,Melancholy,"After having worked on my previous laptop for quite a while to save up for this new one, I think of the work I am now compelled further to complete, and the necessity to purchase another model in the future to continue my job. The work isn't very interesting and I sometimes find myself loathe at the thought of more uninspired screen-time.",I don't feel any connection to the purchase and I feel a certain disdain for that lack of connection.,Neutral because it will be replaced later anyway. The job I have now may not be the job I have later. I don't know why I am purchasing this laptop beyond a sense of economic compulsion.,"Yes because it fit all the spec requirements and was fully equipped to handle the programs I need. I have reason to believe it will last me a number of years, as well.","Neutral because I was grateful that it functioned very well, but I don't use it for anything to pleasant to begin with.",Expected because I am generally aware of work laptop requirements and purchases. I knew what I was going to be getting.,4,4,7,3,6,6,6,7,5,2,2,2,4,4,1,3,2,6,4,3,6,5,3,1,4,1,1,1,4,1,1,5,NA,,Electric Lawn Mower,600,Disappointment,,,"I had mowed my lawn with it several times before it merely stopped turning on. I did my best to fix it, like I would a normal mower, but I failed to get it running again, even after talking with a tech. I ordered the same mower and found it stopped running again after several uses as well.","I really needed it to work at the time, as I couldn't afford a riding mower. I wanted it to work and it failed me.
",Yes because I needed my yard mowed and the grass and weeds were growing fast. I couldn't stall very long.,No because it did not work. It stopped turning on twice in a row. ,No because the product did not work. I really needed it to work and that was not pleasant for me.,Unexpected because I expected the product I ordered to be functional and perform the task for which it was purchased to perform,1,1,1,1,4,2,2,4,4,6,1,5,4,4,1,5,6,3,4,2,3,1,1,5,1,7,4,1,2,5,4,1,NA,,Somewhat agree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Male,,25 - 34 years old,American Indian/Native American or Alaska Native,,Yes,English,Bachelor’s degree,"$50,000-$74,999",60f07d8c1de076bcea9e0d44,4
Massage,250,Disappointment,,,I paid for a massage at a place that had very good reviews. When the massage started it was not what I was expecting. I was immediately disappointed because the masseuse used too much pressure and it felt painful. I squirmed around on the table but they did not seem to care. I was very disappointed because I was looking forward to a relaxing massage and I paid a great deal of money for it.,I was feeling disappointment because I had a long week of work and I was looking to relax. The massage was the opposite of relaxing. It was very harsh and made me actually feel worse. After the massage I felt all bruised up and it was not a pleasurable experience.,"Yes because I needed a break from work and wanted something to relax me. A massage was just the thing I was looking for. It was supposed to relax me and make me feel better. Instead, it was not very good and I paid a great deal of money for it. It was important to get good service since I spent so much money.",No because the massages that I had in the past were relaxing. this massage felt like I was a piece of meat that was being used as a punching bag. the massage was not relaxing and it was not like the massages I had in the past.,No because the masseuse applied too much pressure and the massage was painful. Massages are supposed to be relaxing especially after a very tough week of work. This particular massage was painful and put me in a bad mood. It was not relaxing at all.,Unexpected because the massage hurt me and did not feel relaxing. The pressure was too much and it was too harsh. I felt like I was bruising instead of relaxing. ,2,1,1,2,1,7,3,1,7,5,1,3,1,5,7,3,5,1,1,3,7,1,1,6,1,7,5,1,1,3,7,1,NA,,Rental Vacation House,450,Grateful,,,"I felt grateful when using the rental vacation home because it was much nicer than I expected and it had amazing amenities. First of all, I was grateful for the view. We could see the beach and it was a very pleasant location. Second, the fridge was stocked with food and beverages, and they even had accommodations for our cat. It was well worth the price and I was grateful to be staying in such a spacious and beautiful place.",I was feeling grateful because I could see just how much trouble the host went through in order to make it a pleasant experience. The host spared no expense and set us up with so many nice things. I feel that they went above and beyond and made us feel welcomed and at home.,Yes because we were going to an event in town and needed a place to stay. It was our anniversary and I was nervous and wanted everything to be perfect. The place was important to me because we were going to be staying there for a few days and I wanted it to be in a safe area and have a nice view.,Yes because the area was very safe and the place itself had a great deal of space in it and it had all the amenities I was looking for and more. I was a bit worried that they might not be able to make it nice and comfy for my cat but they were able to do that as well.,"Yes because the place was so spacious and it looked like a mansion to us. Also, since it was our anniversary it was very nice to have a romantic view of the surrounding area. The refrigerator was stocked with everything we could ask for and it was very convenient so we did not have to venture off in an unfamiliar town in order to find a place to buy groceries.",Unexpected because the refrigerator was stocked with food and beverages and I wasn't expecting that. I expected an empty fridge and that we would have to venture into town in order to buy food. I was pleasantly surprised that the vacation home was so well stocked and it made it very convenient for us.,5,7,7,5,7,7,,7,3,1,4,1,1,7,3,3,1,6,1,3,7,7,7,1,7,1,5,6,7,1,1,7,NA,,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Male,,35 - 44 years old,White or Caucasian,,Yes,English,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$75,000-$99,999",5e3cddaa64dfd70d85a5ef3f,4
